LAI,Lwin,PPT,Pa,Rg,Ta,U,VPD,ea,ustar
0,258,0,99.8,0.000,3.000,3.308,0.135,0.623,0.1449
0,257,0,99.8,0.000,2.200,3.442,0.117,0.599,0.1020
0,272,0,99.8,0.000,1.800,3.576,0.109,0.587,0.1418
0,336,0,99.8,1.000,2.400,3.867,0.147,0.579,0.2425
0,338,0,99.9,1.000,2.700,4.157,0.170,0.572,0.2707
0,337,0,99.9,0.000,2.400,4.314,0.157,0.569,0.3173
0,337,0,99.9,0.000,2.200,4.470,0.154,0.562,0.3600
0,331,0,99.9,0.000,1.900,4.873,0.133,0.567,0.3496
0,324,0.6,99.9,0.000,1.500,5.275,0.084,0.597,NaN
0,328,0,99.9,1.000,1.300,5.476,0.064,0.607,0.3966
0,332,0,99.9,1.000,1.400,5.677,0.061,0.615,0.4480
0,332,0,99.9,0.000,1.400,5.476,0.058,0.618,0.4519
0,333,0,99.9,1.000,1.500,5.275,0.062,0.619,0.4158
0,333,0,100,1.000,1.600,5.096,0.053,0.633,0.4048
0,334,0,100,3.000,1.800,4.917,0.051,0.644,0.3991
0,337,0,100,13.000,1.900,5.096,0.034,0.667,0.4613
0,337,0,100,13.000,2.000,5.275,0.031,0.675,0.4261
0,332,0,100,22.000,2.000,4.962,0.020,0.686,0.4571
0,328,0,100,51.000,2.000,4.649,0.002,0.704,0.4278
0,333,0,100,73.000,2.300,4.247,0.001,0.720,0.5177
0,332,0,100,48.000,2.600,3.845,0.009,0.728,0.4298
0,329,0,100,54.000,2.700,3.822,0.003,0.739,0.3036
0,328,0,100,73.000,3.100,3.800,0.000,0.763,0.2693
0,327,0,99.9,77.000,3.600,3.599,0.000,0.791,0.3483
0,326,0,99.9,62.000,3.600,3.398,0.000,0.791,0.3833
0,326,0,99.8,69.000,3.900,3.532,0.000,0.807,0.3259
0,327,0,99.8,86.000,4.000,3.666,0.000,0.813,0.3194
0,328,0,99.8,67.000,4.200,3.532,0.000,0.825,0.2966
0,329,0,99.8,28.000,4.300,3.398,0.000,0.830,0.2919
0,329,0,99.8,17.000,4.300,3.532,0.000,0.830,0.3268
0,333,0,99.8,18.000,4.500,3.666,0.000,0.842,0.2886
0,334,0,99.7,21.000,4.800,4.537,0.000,0.860,0.2746
0,337,0,99.7,7.000,5.100,5.409,0.000,0.878,0.2590
0,338,0,99.7,1.000,5.300,5.297,0.000,0.890,0.2066
0,338,0,99.7,0.000,5.700,5.186,0.000,0.916,0.1797
0,341,0,99.7,0.000,6.100,4.940,0.000,0.941,0.1217
0,344,0,99.7,0.000,6.800,4.694,0.000,0.988,0.0954
0,346,0.2,99.7,0.000,7.600,4.381,0.000,1.043,NaN
0,350,0,99.7,0.000,8.600,4.068,0.000,1.117,0.1145
0,347,0,99.7,0.000,9.400,4.225,0.000,1.179,0.1449
0,354,0,99.7,0.000,10.200,4.381,0.000,1.244,0.1797
0,357,0,99.7,0.000,10.700,4.336,0.000,1.286,0.2154
0,359,0,99.6,0.000,11.400,4.292,0.000,1.347,0.3079
0,358,0,99.6,0.000,11.500,4.292,0.000,1.356,0.2142
0,354,0,99.6,0.000,11.300,4.292,0.000,1.338,0.1936
0,348,0,99.7,0.000,10.900,4.739,0.000,1.303,0.1425
0,349,0,99.6,0.000,11.200,5.186,0.000,1.329,0.2362
0,333,0,99.7,0.000,11.500,5.432,0.000,1.356,NaN
0,352,0,99.5,0.000,11.700,5.677,0.000,1.374,0.3460
0,361,0,99.5,0.000,11.900,5.655,0.000,1.392,0.3534
0,361,0,99.5,0.000,12.100,5.633,0.000,1.411,0.3463
0,362,0,99.5,0.000,12.300,6.169,0.000,1.429,0.3867
0,362,0,99.5,0.000,12.100,6.706,0.000,1.411,0.3366
0,362,0,99.5,0.000,11.900,6.706,0.000,1.392,0.3048
0,366,0,99.5,0.000,11.900,6.706,0.000,1.392,0.2577
0,367,0,99.5,0.000,12.100,6.236,0.000,1.411,0.2834
0,367,0,99.5,0.000,12.200,5.767,0.000,1.420,0.2612
0,367,0,99.5,0.000,12.200,5.923,0.000,1.420,0.2674
0,368,0,99.5,0.000,12.400,6.080,0.000,1.439,0.3604
0,369,0,99.5,0.000,12.500,5.700,0.000,1.448,0.3256
0,370,0,99.5,0.000,12.700,5.320,0.000,1.468,0.4212
0,370,0,99.5,0.000,12.800,5.186,0.000,1.477,0.4460
0,371,0,99.5,4.000,12.900,5.052,0.000,1.487,0.4095
0,371,0,99.6,18.000,13.000,5.454,0.000,1.497,0.4618
0,373,0,99.6,25.000,13.200,5.856,0.000,1.516,0.4698
0,375,0,99.6,51.000,13.600,5.476,0.000,1.556,0.4184
0,375,0,99.7,41.000,13.800,5.096,0.000,1.577,0.4200
0,376,0,99.7,56.000,14.000,4.984,0.000,1.597,0.3412
0,376,0,99.7,48.000,14.200,4.873,0.000,1.618,0.3940
0,377,0,99.7,75.000,14.400,4.917,0.000,1.639,0.3834
0,378,0,99.6,76.000,14.600,4.962,0.000,1.661,0.3384
0,378,0,99.6,61.000,14.800,4.560,0.000,1.682,0.3524
0,378,0.2,99.6,48.000,14.700,4.157,0.000,1.671,NaN
0,379,0,99.6,57.000,14.800,4.381,0.000,1.682,0.2107
0,379,0,99.6,58.000,14.800,4.605,0.000,1.682,0.1718
0,366,0,99.6,21.000,11.800,4.627,0.003,1.380,0.3764
0,356,0,99.6,15.000,9.900,4.649,0.000,1.219,0.2594
0,351,0,99.7,24.000,9.000,4.426,0.000,1.147,0.2291
0,348,0,99.7,14.000,8.300,4.202,0.000,1.094,0.2526
0,345,0,99.7,18.000,7.800,4.225,0.000,1.058,0.0480
0,344,0,99.8,7.000,7.600,4.247,0.000,1.043,0.1709
0,342,0,99.8,0.000,7.200,4.225,0.000,1.015,0.1876
0,340,0,99.8,0.000,6.900,4.202,0.000,0.995,0.2207
0,339,0,99.8,0.000,6.800,3.956,0.000,0.988,0.1995
0,338,0,99.8,0.000,6.600,3.710,0.000,0.974,0.1868
0,338,0,99.8,0.000,6.300,4.046,0.000,0.954,0.1833
0,336,0,99.9,0.000,6.200,4.381,0.000,0.948,0.1533
0,335,0,99.9,0.000,5.800,4.225,0.000,0.922,0.1761
0,335,0,99.9,0.000,5.600,4.068,0.000,0.909,0.1972
0,334,0,99.9,0.000,5.400,4.068,0.000,0.897,0.2154
0,333,0,99.9,0.000,5.300,4.068,0.000,0.890,0.1670
0,335,0,99.9,0.000,5.100,4.001,0.000,0.878,0.2608
0,333,0,99.9,0.000,4.900,3.934,0.000,0.866,0.2729
0,333,0,99.8,0.000,4.600,3.755,0.000,0.848,0.2526
0,332,2.6,99.8,0.000,4.400,3.576,0.000,0.836,NaN
0,318,1.4,99.6,0.000,4.400,3.643,0.000,0.836,0.2594
0,331,0.2,99.7,0.000,4.600,3.710,0.000,0.848,NaN
0,331,0,99.7,0.000,4.600,2.928,0.000,0.848,0.2154
0,331,0.2,99.7,0.000,4.600,2.146,0.000,0.848,NaN
0,331,0.2,99.7,0.000,4.700,3.152,0.000,0.854,NaN
0,331,0.2,99.7,0.000,4.800,4.157,0.000,0.860,NaN
0,330,0.6,99.7,0.000,4.800,4.090,0.000,0.860,NaN
0,331,0.6,99.6,0.000,4.900,4.023,0.000,0.866,NaN
0,334,0.8,99.5,0.000,4.800,3.822,0.000,0.860,NaN
0,335,1,99.5,0.000,4.800,3.621,0.000,0.860,NaN
0,337,1.4,99.5,0.000,5.000,4.001,0.000,0.872,NaN
0,338,1.6,99.5,0.000,4.900,4.381,0.000,0.866,NaN
0,340,0.4,99.5,0.000,4.800,4.225,0.000,0.860,NaN
0,338,0.2,99.4,0.000,4.800,4.068,0.000,0.860,NaN
0,339,0.4,99.4,0.000,4.800,4.381,0.000,0.860,NaN
0,334,0,99.4,2.000,4.800,4.694,0.000,0.860,0.3587
