LAI,Lwin,PPT,Pa,Rg,Ta,U,VPD,ea,ustar
0,306,0,98.5,0,0.100000001,3.3528,0.024618447,0.590833636,0.203224014
0,306,0,98.5,0,-0.100000001,3.553968,0.01395106,0.592625406,0.205912603
0,306,0,98.5,0,-0.100000001,3.755136,0.009705067,0.596871399,0.195959179
0,307,0,98.5,0,0,3.68808,0.010998005,0.600001995,0.188148877
0,307,0,98.5,0,-0.100000001,3.621024,0.006672232,0.599904235,0.167332005
0,309,0,98.5,0,0.300000012,3.822192,0.010615949,0.613826581,0.223159136
0,309,0,98.5,0,0.300000012,4.02336,0.009991489,0.614451042,0.18547237
0,310,0,98.5,0,0.300000012,4.02336,0.008742566,0.615699964,0.218174242
0,309,0,98.5,0,0.300000012,4.02336,0.006869146,0.617573385,0.206155281
0,310,0,98.4,0,0.5,4.425696,0.008236723,0.625312366,0.281424946
0,311,0,98.4,0,0.600000024,4.828032,0.010849374,0.627296941,0.340440891
0,311,0,98.4,0,0.600000024,5.051552,0.013402179,0.624744136,0.334215499
0,312,0,98.3,0,0.699999988,5.275072,0.016713706,0.626059345,0.33
0,312,0,98.3,0,0.800000012,5.297424,0.019425024,0.62800444,0.372155881
0,312,0,98.3,5,0.800000012,5.319776,0.022015074,0.625414391,0.314960315
0,312,0,98.4,23,0.899999976,5.498592,0.020218077,0.631897639,0.307408523
0,314,0,98.4,43,1,5.677408,0.021021484,0.635810491,0.408411557
0,316,0,98.4,77,1.399999976,6.079744,0.031778049,0.644222324,NaN
0,318,0,98.3,81,1.799999952,6.48208,0.042445603,0.653216616,NaN
0,319,0,98.3,65,2.099999905,6.862064,0.053320217,0.657418763,0.437721373
0,323,0,98.3,93,2.799999952,7.242048,0.08444683,0.662600899,0.459565012
0,326,0,98.2,102,3.5,7.756144,0.102093053,0.68289428,0.465832588
0,332,0,98.2,184,4.699999809,8.27024,0.144407308,0.709595022,0.477179212
0,338,0,98.1,147,5.900000095,8.136128,0.190433824,0.737890429,0.473180727
0,342,0,98,140,6.699999809,8.002016,0.210086226,0.770904741,0.4592385
0,347,0,98,136,7.699999809,7.398512,0.272304773,0.778216417,0.503388518
0,348,0,98,132,8.100000381,6.795008,0.261463785,0.818064166,0.356089876
0,351,0,97.9,113,8.600000381,6.884416,0.263787961,0.852990145,0.384837628
0,352,0,97.9,65,8.899999619,6.973824,0.244104624,0.895563408,0.395979798
0,351,0,97.9,32,8.800000191,7.577328,0.239060211,0.89293234,0.406816912
0,351,0,97.9,30,8.899999619,8.180832,0.241823244,0.897844788,0.456179789
0,351,0,97.8,10,8.899999619,8.091424,0.206462336,0.933205696,0.50039984
0,350,0,97.8,3,8.800000191,8.002016,0.174480033,0.957512519,0.526592822
0,352,0,97.8,0,9.199999809,7.59968,0.181586933,0.981383668,0.479165942
0,353,0,97.8,0,9.300000191,7.197344,0.158205533,1.012625395,0.447101778
0,352,0,97.8,0,9.199999809,6.7056,0.160634649,1.002335953,0.390128184
0,352,0,97.8,0,9.199999809,6.213856,0.150158477,1.012812124,0.326955655
0,354,0,97.8,0,9.600000381,6.303264,0.137516606,1.057176881,0.371214224
0,355,0,97.8,0,9.699999809,6.392672,0.122793615,1.07994869,0.362904946
0,355,0,97.8,0,9.699999809,6.683248,0.121589768,1.081152537,0.335410197
0,355,0,97.8,0,9.699999809,6.973824,0.105939662,1.096802643,0.366878727
0,355,0,97.8,0,9.699999809,6.772656,0.095104849,1.107637456,0.348137904
0,356,0,97.7,0,9.899999619,6.571488,0.085408926,1.13357456,0.338969025
0,358,0,97.7,0,10.39999962,6.48208,0.0857921,1.174642654,0.374966665
0,360,0,97.7,0,10.80000019,6.392672,0.080336702,1.214147912,0.371752606
0,359,0,97.7,0,10.5,6.102096,0.054614341,1.214258085,0.316227766
0,358,0,97.7,0,10.30000019,5.81152,0.027571356,1.224475264,0.321558704
0,337,0,98,0,10.60000038,5.47624,0.011507413,1.265852394,0.388200979
0,365,0,97.6,1,11.89999962,5.14096,0.025087649,1.367246343,0.36138622
0,368,0,97.6,0,12.30000019,5.565648,0.034343427,1.39515316,0.369594372
0,368,0,97.5,0,12.39999962,5.990336,0.033129588,1.405792844,0.340881211
0,367,0,97.5,0,12.19999981,5.69976,0.015637471,1.404487556,0.32969683
0,366,0,97.5,0,12.19999981,5.409184,0.001421573,1.418703454,0.284604989
0,368,0,97.5,0,12.39999962,5.25272,0,1.438922432,0.308868904
0,367,0,97.4,0,12.30000019,5.096256,0,1.429496588,0.350713558
0,367,0,97.4,0,12.5,5.453888,0,1.448403009,0.363868108
0,369,0,97.4,0,12.80000019,5.81152,0,1.477175208,0.397869325
0,371,0,97.3,0,13,6.236208,0,1.496634837,0.379736751
0,373,0,97.3,0,13.39999962,6.660896,0,1.536231679,0.415451562
0,375,0,97.2,0,13.60000038,6.079744,0,1.556373444,0.435660418
0,376,0,97.2,0,13.80000019,5.498592,0,1.576746947,0.431161223
0,375,0,97.3,0,13.69999981,6.012688,0,1.566531026,0.346554469
0,377,0,97.2,2,14,6.526784,0,1.597354555,0.337045991
0,378,0,97.2,12,14.19999981,6.280912,0,1.618198559,0.337194306
0,380,0,97.2,72,14.60000038,6.03504,0,1.660605113,0.348855271
0,386,0,97.2,132,15.5,6.347968,0.003523022,1.756085097,0.416293166
0,391,0,97.2,167,16.20000076,6.660896,0.023948312,1.816209532,0.373630834
0,390,0,97.2,43,16.5,6.906768,0.033798897,1.841859481,0.386910842
0,379,1.6,97.2,21,15.39999962,7.15264,0.175026989,1.573330615,NaN
0,371,0,97.1,66,13.80000019,5.945632,0.15310843,1.423638517,0.377491722
0,373,0,97.1,90,13.5,4.738624,0.091327477,1.454946247,0.263058929
0,377,0,97.1,235,13.60000038,5.632704,0.06387952,1.492493925,0.314165561
0,380,0,97,368,13.69999981,6.526784,0.127024829,1.439506197,0.390384426
0,382,0,97,351,14.19999981,7.018528,0.20411315,1.414085409,0.433012702
0,380,0,97,303,13.89999962,7.510272,0.301858068,1.285163228,0.481248377
0,379,0,97.1,266,13.60000038,7.465568,0.338093877,1.218279568,0.310322413
0,374,0,97.1,200,13,7.420864,0.334101725,1.162533113,0.541848687
0,371,0,97.2,176,12.39999962,6.347968,0.292404604,1.146517828,0.36796739
0,368,0,97.3,131,11.80000019,5.275072,0.250610209,1.13256713,0.395727179
0,361,0,97.3,59,10.89999962,5.118608,0.191747594,1.111374949,0.332415403
0,357,0,97.4,10,10.19999981,4.962144,0.144407618,1.0993,0.331813201
0,356,0,97.4,0,10,4.962144,0.122833467,1.104342869,0.362629287
0,353,0,97.4,0,9.5,4.962144,0.09027136,1.096420734,0.379868398
0,351,0,97.5,0,8.899999619,4.939792,0.046767724,1.092900308,0.344673759
0,349,0,97.5,0,8.5,4.91744,0.013322274,1.095916404,0.294957624
0,346,0,97.6,0,8.199999809,6.37032,0,1.086889029,0.31701735
0,344,0,97.6,0,7.699999809,7.8232,0,1.050521191,0.46184413
0,341,0,97.6,0,7,7.018528,0,1.001410505,0.523832034
0,339,0,97.7,0,6.699999809,6.213856,0,0.980990967,0.44260592
0,340,0,97.7,0,6.800000191,5.69976,0,0.987756289,0.31
0,341,0,97.8,0,7,5.185664,0,1.001410505,0.211187121
0,342,0,97.8,0,7.199999809,6.81736,0,1.015231004,0.378153408
0,341,0,97.9,0,6.900000095,8.449056,0,0.994562719,0.535723809
0,338,0,97.9,0,6.400000095,7.510272,0,0.960939813,0.57
0,337,0,97.9,0,6.199999809,6.571488,0,0.947774159,0.47581509
0,332,0,98.4,0,6.199999809,6.884416,0,0.947774159,0.56524331
0,336,0,98,0,6,7.197344,0,0.934768028,0.374833296
0,335,0,98.1,0,5.800000191,6.660896,0,0.92191973,0.422255847
0,334,0,98.1,0,5.599999905,6.124448,0,0.909227585,0.429534632
0,334,0,98.2,0,5.5,5.833872,0,0.902939586,0.348568501
0,334,0,98.2,0,5.5,5.543296,0,0.902939586,0.318276609
0,333,0,98.3,0,5.400000095,6.191504,0,0.896690022,0.37
0,333,0,98.4,0,5.300000191,6.839712,0,0.89047869,0.408044115
0,332,0,98.4,0,5.199999809,6.459728,0,0.884305361,0.34394767
0,332,0,98.4,0,5.099999905,6.079744,0,0.878169893,0.369052842
0,332,0,98.4,0,5.199999809,5.69976,0,0.884305361,0.347706773
0,332,0,98.5,0,5.199999809,5.319776,0,0.884305361,0.314324673
0,332,0,98.5,0,5.199999809,4.58216,0,0.884305361,0.254165301
0,332,0,98.5,0,5.199999809,3.844544,0,0.884305361,0.17691806
0,332,0,98.6,0,5.099999905,4.13512,0,0.878169893,0.233880311
0,331,0,98.6,2,5,4.425696,0,0.872072056,0.244335835
0,331,0,98.6,10,4.900000095,4.24688,0,0.866011653,0.232808935
0,332,0,98.7,23,4.900000095,4.068064,0,0.866011653,0.240831892
0,332,0,98.7,28,4.900000095,3.486912,0,0.866011653,0.232594067
0,332,0,98.7,37,4.900000095,2.90576,0,0.866011653,0.22627417
0,333,0,98.8,48,5,2.749296,0,0.872072056,0.153297097
0,334,0,98.8,75,5.199999809,2.592832,0,0.884305361,0.094339811
0,336,0,98.8,74,5.5,3.039872,0,0.902939586,0.151657509
0,336,0,98.8,58,5.699999809,3.486912,0,0.915554222,0.253377189
0,336,0,98.8,106,5.699999809,3.68808,0,0.915554222,0.283901391
0,336,0,98.7,90,5.599999905,3.889248,0,0.909227585,0.267581763
0,335,0,98.7,83,5.599999905,3.822192,0,0.909227585,0.25
0,337,0,98.7,75,5.800000191,3.755136,0.000922517,0.920997213,0.26
0,336,0,98.7,64,5.699999809,3.598672,0,0.915554222,0.220454077
0,335,0,98.7,49,5.599999905,3.442208,0,0.909227585,0.22090722
0,334,0,98.7,39,5.400000095,3.196336,0,0.896690022,0.214476106
0,334,0,98.7,26,5.400000095,2.950464,0,0.896690022,0.16643317
0,334,0,98.7,15,5.5,2.928112,0,0.902939586,0.201246118
0,334,0,98.8,3,5.5,2.90576,0,0.902939586,0.212132034
0,333,0,98.7,0,5.400000095,3.196336,0,0.896690022,0.188414437
0,333,0,98.7,0,5.300000191,3.486912,0,0.89047869,0.201494417
0,333,0,98.7,0,5.300000191,4.13512,0,0.89047869,0.188679623
0,332,0,98.7,0,5.199999809,4.783328,0,0.884305361,0.255538647
0,332,0,98.6,0,5.099999905,5.297424,0,0.878169893,0.320624391
0,332,0,98.6,0,5.099999905,5.81152,0,0.878169893,0.40484565
0,332,0,98.6,0,5,6.415024001,0,0.872072056,0.386781592
0,331,0,98.6,0,5,7.018528,0,0.872072056,0.402367991
0,331,0,98.6,0,4.800000191,7.331456,0,0.859988486,0.496588361
0,331,0,98.5,0,4.800000191,7.644384,0,0.859988486,0.397743636
0,331,0,98.4,0,4.800000191,7.756144,0,0.859988486,0.492544414
0,331,0,98.5,0,4.900000095,7.867904,0,0.866011653,0.505272204
0,331,0,98.5,0,4.900000095,8.203184,0,0.866011653,0.512542681
0,331,0,98.4,0,4.900000095,8.538464,0,0.866011653,0.50049975
0,316,0,98.8,0,5.099999905,8.560816,0,0.878169893,0.398246155
0,333,0,98.3,0,5.300000191,8.583168,0,0.89047869,0.601913615
0,334,0,98.3,0,5.5,8.15848,0,0.902939586,0.552810998
0,334,0,98.3,0,5.599999905,7.733792,0,0.909227585,0.543046959
0,335,0,98.2,0,5.800000191,7.420864,0,0.92191973,0.429651021
0,336,0,98.2,0,6,7.107936,0,0.934768028,0.439203825
0,335,0,98.1,0,6,6.81736,0,0.934768028,0.423674403
0,333,0,98.1,0,5.599999905,6.526784,0,0.909227585,0.414366987
0,331,0,98.1,0,5.300000191,6.571488,0,0.89047869,0.356089876
0,330,0,98,0,5,6.616192,0,0.872072056,0.378417759
0,329,0,98,0,4.800000191,6.862064,0,0.859988486,0.429651021
0,328,0,97.9,0,4.699999809,7.107936,0,0.85400233,0.446989933
0,327,0,97.9,0,4.5,6.012688,0,0.84214041,0.414125585
0,325,0,98,0,4.199999809,4.91744,0,0.824620424,0.334065862
0,326,0,97.9,0,4.400000095,5.096256,0,0.836264227,0.278567766
0,326,0,97.9,6,4.300000191,5.275072,0,0.830424306,0.42332021
0,327,0,97.9,44,4.099999905,5.677408,0,0.818852447,0.431045241
0,332,0,98,113,4.699999809,6.079744,0.00085447,0.85314786,0.403112887
0,337,0,98,86.5,5.699999809,7.756144,0.025652286,0.889901935,0.419523539
0,336,0,98.1,91,5.800000191,9.432544,0.040591297,0.881328433,0.416052881
0,335,0,98.1,98,5.599999905,9.16432,0.02365509,0.885572496,0.567978873
0,335,0,98.2,71,5.599999905,8.896096,0.016376629,0.892850956,0.606712453
0,335,0,98.2,70,5.5,8.382,0.011745671,0.891193915,0.57965507
0,337,0,98.2,123,5.800000191,7.867904,0.032288533,0.889631196,NaN
0,339,0,98.2,158,6.199999809,8.180832,0.051215363,0.896558796,NaN
0,339,0,98.2,128,6.300000191,8.49376,0.077355576,0.876981385,0.68767725
0,340,0,98.2,131,6.5,8.694928,0.100700974,0.866881983,0.5670097
0,337,0,98.2,46,6,8.896096,0.086056882,0.848711146,0.561782876
